Branch optimisation examples,,,,,,,,
Testing 4 different ways, on arrays of 20 sizes from 100 to 1012,,,,,,,
testing option 0: branch1() on predictable data,,,,,,,,
testing option 1: branch1() on unpredictable data,,,,,,,,
testing option 2: branch2() on predictable data,,,,,,,,
testing option 3: branch2() on unpredictable data,,,,,,,,
,,,,,,,,
"""-O0 Run""",,,,,,,,
size, pred.branch1, unpred.branch1, pred.branch2, unpred.branch2,pred.branch1,unpred.branch1,pred.branch2,unpred.branch2
200000,1755252,1725098,1732632,1776549,8.77626,8.62549,8.66316,8.882745
224000,1940601,1933171,1910796,2247228,8.663397321,8.630227679,8.530339286,10.03226786
256000,2215008,2201736,2190933,2699244,8.652375,8.60053125,8.558332031,10.54392188
296000,2543664,2554089,2511799,3191366,8.593459459,8.628679054,8.485807432,10.78164189
344000,2969527,3443354,2888968,3620817,8.63234593,10.00975,8.398162791,10.52563081
400000,3419114,4177533,3393220,4174092,8.547785,10.4438325,8.48305,10.43523
464000,4074223,5849260,4001952,5754060,8.780653017,12.60616379,8.624896552,12.40099138
536000,4656180,7470170,4627154,6757087,8.686902985,13.93688433,8.63275,12.6065056
616000,5372462,9366304,5292364,8181597,8.721529221,15.20503896,8.5915,13.28181331
704000,6096544,11349837,6015304,10378658,8.659863636,16.12192756,8.544465909,14.74241193
800000,6917820,13193138,6801199,12665697,8.647275,16.4914225,8.50149875,15.83212125
904000,7780780,15767080,7691032,15646581,8.607057522,17.44146018,8.507778761,17.30816482
1016000,8733129,18792422,8569248,18936043,8.595599409,18.49647835,8.434299213,18.6378376
1136000,9804537,22073128,9610488,22127013,8.630754401,19.43057042,8.45993662,19.4780044
1264000,10857609,25072720,10671765,25796880,8.589880538,19.83601266,8.442852057,20.40892405
1400000,11990918,28530268,11841696,28369569,8.564941429,20.37876286,8.458354286,20.26397786
1544000,13200316,31706676,13068417,32226050,8.549427461,20.53541192,8.464000648,20.87179404
1696000,14538374,36286600,14360743,36201708,8.572154481,21.39540094,8.467419222,21.3453467
1856000,15834612,40520827,15673627,40297912,8.531579741,21.83234213,8.444842134,21.71223707
2024000,17276664,44814453,16995780,44645006,8.535901186,22.14152816,8.397124506,22.05780929
,,,,,,,,
,,,,,,,,
Wakeup delay calculated 0.072973,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"""-O1 Run""",,,,,,,,
size, pred.branch1, unpred.branch1, pred.branch2, unpred.branch2,,,,
200000,341040,340339,371988,372014,,,,
224000,376437,376380,407976,407920,,,,
256000,424260,424233,455896,455930,,,,
296000,491736,484166,522669,520536,,,,
344000,556332,556348,587904,587894,,,,
400000,640317,645374,671870,671860,,,,
464000,737172,737172,774177,767884,,,,
536000,849014,844202,875911,880603,,,,
616000,964317,969300,995908,995848,,,,
704000,1101453,1096766,1132670,1132653,,,,
800000,1240581,1245067,1271889,1271875,,,,
904000,1401369,1396687,1432828,1432612,,,,
1016000,1565306,1569132,1600305,1595860,,,,
1136000,1749124,1749612,1775858,1780084,,,,
1264000,1941124,1941120,1972046,1972521,,,,
1400000,2145088,2140317,2176629,2176581,,,,
1544000,2361088,2361055,2392567,2393383,,,,
1696000,2589184,2593384,2620610,2620593,,,,
1856000,2829672,2830831,2860596,2860574,,,,
2024000,3081444,3081974,3116462,3112543,,,,
